cap_factor,demand_scale,emission_cap,shortage_cost,product,period,production,shortage,setup
0.7,0.8,200,1000,Gamma,demand_t0,24.0,0.0,1.0
0.7,0.8,200,1000,Gamma,demand_t1,0.0,0.0,0.0
0.7,0.8,200,1000,Gamma,demand_t2,24.0,0.0,1.0
0.7,0.8,200,2000,Alpha,demand_t0,17.6,14.4,1.0
0.7,0.8,200,2000,Alpha,demand_t1,29.6,18.4,1.0
0.7,0.8,200,2000,Alpha,demand_t2,26.0,14.0,1.0
0.7,0.8,200,2000,Beta,demand_t0,27.2,0.0,1.0
0.7,0.8,200,2000,Beta,demand_t1,27.2,1.6,1.0
0.7,0.8,200,2000,Beta,demand_t2,16.0,0.0,1.0
0.7,0.8,200,2000,Gamma,demand_t0,24.0,0.0,1.0
0.7,0.8,200,2000,Gamma,demand_t1,0.0,0.0,0.0
0.7,0.8,200,2000,Gamma,demand_t2,24.0,0.0,1.0
0.7,0.8,300,500,Alpha,demand_t0,32.0,0.0,1.0
0.7,0.8,300,500,Alpha,demand_t1,48.0,0.0,1.0
0.7,0.8,300,500,Alpha,demand_t2,40.0,0.0,1.0
0.7,0.8,300,500,Beta,demand_t0,21.571429,2.4285714,1.0
0.7,0.8,300,500,Beta,demand_t1,15.857143,16.142857,1.0
0.7,0.8,300,500,Beta,demand_t2,16.0,0.0,1.0
0.7,0.8,300,500,Gamma,demand_t0,17.714286,0.0,1.0
0.7,0.8,300,500,Gamma,demand_t1,8.5714286,0.0,1.0
0.7,0.8,300,500,Gamma,demand_t2,14.5,7.2142857,1.0
0.7,0.8,300,1000,Alpha,demand_t0,32.0,0.0,1.0
0.7,0.8,300,1000,Alpha,demand_t1,48.0,0.0,1.0
0.7,0.8,300,1000,Alpha,demand_t2,40.0,0.0,1.0
0.7,0.8,300,1000,Beta,demand_t0,21.571429,2.4285714,1.0
0.7,0.8,300,1000,Beta,demand_t1,15.857143,16.142857,1.0
0.7,0.8,300,1000,Beta,demand_t2,16.0,0.0,1.0
0.7,0.8,300,1000,Gamma,demand_t0,17.714286,0.0,1.0
0.7,0.8,300,1000,Gamma,demand_t1,8.5714286,0.0,1.0
0.7,0.8,300,1000,Gamma,demand_t2,14.5,7.2142857,1.0
0.7,0.8,300,2000,Alpha,demand_t0,32.0,0.0,1.0
0.7,0.8,300,2000,Alpha,demand_t1,48.0,0.0,1.0
0.7,0.8,300,2000,Alpha,demand_t2,40.0,0.0,1.0
0.7,0.8,300,2000,Beta,demand_t0,21.571429,2.4285714,1.0
0.7,0.8,300,2000,Beta,demand_t1,15.857143,16.142857,1.0
0.7,0.8,300,2000,Beta,demand_t2,16.0,0.0,1.0
0.7,0.8,300,2000,Gamma,demand_t0,17.714286,0.0,1.0
0.7,0.8,300,2000,Gamma,demand_t1,8.5714286,0.0,1.0
0.7,0.8,300,2000,Gamma,demand_t2,14.5,7.2142857,1.0
0.7,1.0,None,500,Alpha,demand_t0,40.0,0.0,1.0
0.7,1.0,None,500,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.0,None,500,Alpha,demand_t2,47.0,0.0,1.0
0.7,1.0,None,500,Beta,demand_t0,18.714286,11.285714,1.0
0.7,1.0,None,500,Beta,demand_t1,10.5,29.5,1.0
0.7,1.0,None,500,Beta,demand_t2,16.214286,3.7857143,1.0
0.7,1.0,None,500,Gamma,demand_t0,13.142857,6.8571429,1.0
0.7,1.0,None,500,Gamma,demand_t1,0.0,10.0,0.0
0.7,1.0,None,500,Gamma,demand_t2,9.1428571,20.857143,1.0
0.7,1.0,None,1000,Alpha,demand_t0,40.0,0.0,1.0
0.7,1.0,None,1000,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.0,None,1000,Alpha,demand_t2,47.0,0.0,1.0
0.7,1.0,None,1000,Beta,demand_t0,18.714286,11.285714,1.0
0.7,1.0,None,1000,Beta,demand_t1,10.5,29.5,1.0
0.7,1.0,None,1000,Beta,demand_t2,16.214286,3.7857143,1.0
0.7,1.0,None,1000,Gamma,demand_t0,13.142857,6.8571429,1.0
0.7,1.0,None,1000,Gamma,demand_t1,0.0,10.0,0.0
0.7,1.0,None,1000,Gamma,demand_t2,9.1428571,20.857143,1.0
0.7,1.0,None,2000,Alpha,demand_t0,40.0,0.0,1.0
0.7,1.0,None,2000,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.0,None,2000,Alpha,demand_t2,47.0,0.0,1.0
0.7,1.0,None,2000,Beta,demand_t0,18.714286,11.285714,1.0
0.7,1.0,None,2000,Beta,demand_t1,10.5,29.5,1.0
0.7,1.0,None,2000,Beta,demand_t2,16.214286,3.7857143,1.0
0.7,1.0,None,2000,Gamma,demand_t0,13.142857,6.8571429,1.0
0.7,1.0,None,2000,Gamma,demand_t1,0.0,10.0,0.0
0.7,1.0,None,2000,Gamma,demand_t2,9.1428571,20.857143,1.0
0.7,1.0,200,500,Alpha,demand_t0,19.6,20.4,1.0
0.7,1.0,200,500,Alpha,demand_t1,22.6,37.4,1.0
0.7,1.0,200,500,Alpha,demand_t2,22.0,28.0,1.0
0.7,1.0,200,500,Beta,demand_t0,27.2,2.8,1.0
0.7,1.0,200,500,Beta,demand_t1,27.2,12.8,1.0
0.7,1.0,200,500,Beta,demand_t2,20.0,0.0,1.0
0.7,1.0,200,500,Gamma,demand_t0,20.0,0.0,1.0
0.7,1.0,200,500,Gamma,demand_t1,14.0,0.0,1.0
0.7,1.0,200,500,Gamma,demand_t2,26.0,0.0,1.0
0.7,1.0,200,1000,Alpha,demand_t0,19.6,20.4,1.0
0.7,1.0,200,1000,Alpha,demand_t1,22.6,37.4,1.0
0.7,1.0,200,1000,Alpha,demand_t2,22.0,28.0,1.0
0.7,1.0,200,1000,Beta,demand_t0,27.2,2.8,1.0
0.7,1.0,200,1000,Beta,demand_t1,27.2,12.8,1.0
0.7,1.0,200,1000,Beta,demand_t2,20.0,0.0,1.0
0.7,1.0,200,1000,Gamma,demand_t0,20.0,0.0,1.0
0.7,1.0,200,1000,Gamma,demand_t1,14.0,0.0,1.0
0.7,1.0,200,1000,Gamma,demand_t2,26.0,0.0,1.0
0.7,1.0,200,2000,Alpha,demand_t0,19.6,20.4,1.0
0.7,1.0,200,2000,Alpha,demand_t1,22.6,37.4,1.0
0.7,1.0,200,2000,Alpha,demand_t2,22.0,28.0,1.0
0.7,1.0,200,2000,Beta,demand_t0,27.2,2.8,1.0
0.7,1.0,200,2000,Beta,demand_t1,27.2,12.8,1.0
0.7,1.0,200,2000,Beta,demand_t2,20.0,0.0,1.0
0.7,1.0,200,2000,Gamma,demand_t0,20.0,0.0,1.0
0.7,1.0,200,2000,Gamma,demand_t1,14.0,0.0,1.0
0.7,1.0,200,2000,Gamma,demand_t2,26.0,0.0,1.0
0.7,1.0,300,500,Alpha,demand_t0,40.0,0.0,1.0
0.7,1.0,300,500,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.0,300,500,Alpha,demand_t2,47.0,0.0,1.0
0.7,1.0,300,500,Beta,demand_t0,18.714286,11.285714,1.0
0.7,1.0,300,500,Beta,demand_t1,10.5,29.5,1.0
0.7,1.0,300,500,Beta,demand_t2,16.214286,3.7857143,1.0
0.7,1.0,300,500,Gamma,demand_t0,13.142857,6.8571429,1.0
0.7,1.0,300,500,Gamma,demand_t1,0.0,10.0,0.0
0.7,1.0,300,500,Gamma,demand_t2,9.1428571,20.857143,1.0
0.7,1.0,300,1000,Alpha,demand_t0,40.0,0.0,1.0
0.7,1.0,300,1000,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.0,300,1000,Alpha,demand_t2,47.0,0.0,1.0
0.7,1.0,300,1000,Beta,demand_t0,18.714286,11.285714,1.0
0.7,1.0,300,1000,Beta,demand_t1,10.5,29.5,1.0
0.7,1.0,300,1000,Beta,demand_t2,16.214286,3.7857143,1.0
0.7,1.0,300,1000,Gamma,demand_t0,13.142857,6.8571429,1.0
0.7,1.0,300,1000,Gamma,demand_t1,0.0,10.0,0.0
0.7,1.0,300,1000,Gamma,demand_t2,9.1428571,20.857143,1.0
0.7,1.0,300,2000,Alpha,demand_t0,40.0,0.0,1.0
0.7,1.0,300,2000,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.0,300,2000,Alpha,demand_t2,47.0,0.0,1.0
0.7,1.0,300,2000,Beta,demand_t0,18.714286,11.285714,1.0
0.7,1.0,300,2000,Beta,demand_t1,10.5,29.5,1.0
0.7,1.0,300,2000,Beta,demand_t2,16.214286,3.7857143,1.0
0.7,1.0,300,2000,Gamma,demand_t0,13.142857,6.8571429,1.0
0.7,1.0,300,2000,Gamma,demand_t1,0.0,10.0,0.0
0.7,1.0,300,2000,Gamma,demand_t2,9.1428571,20.857143,1.0
0.7,1.2,None,500,Alpha,demand_t0,63.0,0.0,1.0
0.7,1.2,None,500,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.2,None,500,Alpha,demand_t2,54.0,0.0,1.0
0.7,1.2,None,500,Beta,demand_t0,10.5,25.5,1.0
0.7,1.2,None,500,Beta,demand_t1,10.5,37.5,1.0
0.7,1.2,None,500,Beta,demand_t2,13.714286,10.285714,1.0
0.7,1.2,None,500,Gamma,demand_t0,0.0,24.0,0.0
0.7,1.2,None,500,Gamma,demand_t1,0.0,12.0,0.0
0.7,1.2,None,500,Gamma,demand_t2,5.1428571,30.857143,1.0
0.7,1.2,None,1000,Alpha,demand_t0,63.0,0.0,1.0
0.7,1.2,None,1000,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.2,None,1000,Alpha,demand_t2,54.0,0.0,1.0
0.7,1.2,None,1000,Beta,demand_t0,10.5,25.5,1.0
0.7,1.2,None,1000,Beta,demand_t1,10.5,37.5,1.0
0.7,1.2,None,1000,Beta,demand_t2,13.714286,10.285714,1.0
0.7,1.2,None,1000,Gamma,demand_t0,0.0,24.0,0.0
0.7,1.2,None,1000,Gamma,demand_t1,0.0,12.0,0.0
0.7,1.2,None,1000,Gamma,demand_t2,5.1428571,30.857143,1.0
0.7,1.2,None,2000,Alpha,demand_t0,63.0,0.0,1.0
0.7,1.2,None,2000,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.2,None,2000,Alpha,demand_t2,54.0,0.0,1.0
0.7,1.2,None,2000,Beta,demand_t0,10.5,25.5,1.0
0.7,1.2,None,2000,Beta,demand_t1,10.5,37.5,1.0
0.7,1.2,None,2000,Beta,demand_t2,13.714286,10.285714,1.0
0.7,1.2,None,2000,Gamma,demand_t0,0.0,24.0,0.0
0.7,1.2,None,2000,Gamma,demand_t1,0.0,12.0,0.0
0.7,1.2,None,2000,Gamma,demand_t2,5.1428571,30.857143,1.0
0.7,1.2,200,500,Alpha,demand_t0,17.6,30.4,1.0
0.7,1.2,200,500,Alpha,demand_t1,18.8,53.2,1.0
0.7,1.2,200,500,Alpha,demand_t2,18.8,41.2,1.0
0.7,1.2,200,500,Beta,demand_t0,27.2,8.8,1.0
0.7,1.2,200,500,Beta,demand_t1,27.2,20.8,1.0
0.7,1.2,200,500,Beta,demand_t2,24.0,0.0,1.0
0.7,1.2,200,500,Gamma,demand_t0,24.0,0.0,1.0
0.7,1.2,200,500,Gamma,demand_t1,21.6,0.0,1.0
0.7,1.2,200,500,Gamma,demand_t2,26.4,0.0,1.0
0.7,1.2,200,1000,Alpha,demand_t0,17.6,30.4,1.0
0.7,1.2,200,1000,Alpha,demand_t1,18.8,53.2,1.0
0.7,1.2,200,1000,Alpha,demand_t2,18.8,41.2,1.0
0.7,1.2,200,1000,Beta,demand_t0,27.2,8.8,1.0
0.7,1.2,200,1000,Beta,demand_t1,27.2,20.8,1.0
0.7,1.2,200,1000,Beta,demand_t2,24.0,0.0,1.0
0.7,1.2,200,1000,Gamma,demand_t0,24.0,0.0,1.0
0.7,1.2,200,1000,Gamma,demand_t1,21.6,0.0,1.0
0.7,1.2,200,1000,Gamma,demand_t2,26.4,0.0,1.0
0.7,1.2,200,2000,Alpha,demand_t0,17.6,30.4,1.0
0.7,1.2,200,2000,Alpha,demand_t1,18.8,53.2,1.0
0.7,1.2,200,2000,Alpha,demand_t2,18.8,41.2,1.0
0.7,1.2,200,2000,Beta,demand_t0,27.2,8.8,1.0
0.7,1.2,200,2000,Beta,demand_t1,27.2,20.8,1.0
0.7,1.2,200,2000,Beta,demand_t2,24.0,0.0,1.0
0.7,1.2,200,2000,Gamma,demand_t0,24.0,0.0,1.0
0.7,1.2,200,2000,Gamma,demand_t1,21.6,0.0,1.0
0.7,1.2,200,2000,Gamma,demand_t2,26.4,0.0,1.0
0.7,1.2,300,500,Alpha,demand_t0,63.0,0.0,1.0
0.7,1.2,300,500,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.2,300,500,Alpha,demand_t2,54.0,0.0,1.0
0.7,1.2,300,500,Beta,demand_t0,10.5,25.5,1.0
0.7,1.2,300,500,Beta,demand_t1,10.5,37.5,1.0
0.7,1.2,300,500,Beta,demand_t2,13.714286,10.285714,1.0
0.7,1.2,300,500,Gamma,demand_t0,0.0,24.0,0.0
0.7,1.2,300,500,Gamma,demand_t1,0.0,12.0,0.0
0.7,1.2,300,500,Gamma,demand_t2,5.1428571,30.857143,1.0
0.7,1.2,300,1000,Alpha,demand_t0,63.0,0.0,1.0
0.7,1.2,300,1000,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.2,300,1000,Alpha,demand_t2,54.0,0.0,1.0
0.7,1.2,300,1000,Beta,demand_t0,10.5,25.5,1.0
0.7,1.2,300,1000,Beta,demand_t1,10.5,37.5,1.0
0.7,1.2,300,1000,Beta,demand_t2,13.714286,10.285714,1.0
0.7,1.2,300,1000,Gamma,demand_t0,0.0,24.0,0.0
0.7,1.2,300,1000,Gamma,demand_t1,0.0,12.0,0.0
0.7,1.2,300,1000,Gamma,demand_t2,5.1428571,30.857143,1.0
0.7,1.2,300,2000,Alpha,demand_t0,63.0,0.0,1.0
0.7,1.2,300,2000,Alpha,demand_t1,63.0,0.0,1.0
0.7,1.2,300,2000,Alpha,demand_t2,54.0,0.0,1.0
0.7,1.2,300,2000,Beta,demand_t0,10.5,25.5,1.0
0.7,1.2,300,2000,Beta,demand_t1,10.5,37.5,1.0
0.7,1.2,300,2000,Beta,demand_t2,13.714286,10.285714,1.0
0.7,1.2,300,2000,Gamma,demand_t0,0.0,24.0,0.0
0.7,1.2,300,2000,Gamma,demand_t1,0.0,12.0,0.0
0.7,1.2,300,2000,Gamma,demand_t2,5.1428571,30.857143,1.0
1.0,0.8,None,500,Alpha,demand_t0,32.0,0.0,1.0
1.0,0.8,None,500,Alpha,demand_t1,48.0,0.0,1.0
1.0,0.8,None,500,Alpha,demand_t2,40.0,0.0,1.0
1.0,0.8,None,500,Beta,demand_t0,36.0,0.0,1.0
1.0,0.8,None,500,Beta,demand_t1,36.0,0.0,1.0
1.0,0.8,None,500,Beta,demand_t2,0.0,0.0,0.0
1.0,0.8,None,500,Gamma,demand_t0,24.0,0.0,1.0
1.0,0.8,None,500,Gamma,demand_t1,0.0,0.0,0.0
1.0,0.8,None,500,Gamma,demand_t2,24.0,0.0,1.0
1.0,0.8,None,1000,Alpha,demand_t0,32.0,0.0,1.0
1.0,0.8,None,1000,Alpha,demand_t1,48.0,0.0,1.0
1.0,0.8,None,1000,Alpha,demand_t2,40.0,0.0,1.0
1.0,0.8,None,1000,Beta,demand_t0,36.0,0.0,1.0
1.0,0.8,None,1000,Beta,demand_t1,36.0,0.0,1.0
1.0,0.8,None,1000,Beta,demand_t2,0.0,0.0,0.0
1.0,0.8,None,1000,Gamma,demand_t0,24.0,0.0,1.0
1.0,0.8,None,1000,Gamma,demand_t1,0.0,0.0,0.0
1.0,0.8,None,1000,Gamma,demand_t2,24.0,0.0,1.0
1.0,0.8,None,2000,Alpha,demand_t0,32.0,0.0,1.0
1.0,0.8,None,2000,Alpha,demand_t1,48.0,0.0,1.0
1.0,0.8,None,2000,Alpha,demand_t2,40.0,0.0,1.0
1.0,0.8,None,2000,Beta,demand_t0,36.0,0.0,1.0
1.0,0.8,None,2000,Beta,demand_t1,36.0,0.0,1.0
1.0,0.8,None,2000,Beta,demand_t2,0.0,0.0,0.0
1.0,0.8,None,2000,Gamma,demand_t0,24.0,0.0,1.0
1.0,0.8,None,2000,Gamma,demand_t1,0.0,0.0,0.0
1.0,0.8,None,2000,Gamma,demand_t2,24.0,0.0,1.0
1.0,0.8,200,500,Alpha,demand_t0,0.0,32.0,0.0
1.0,0.8,200,500,Alpha,demand_t1,34.0,14.0,1.0
1.0,0.8,200,500,Alpha,demand_t2,38.0,2.0,1.0
1.0,0.8,200,500,Beta,demand_t0,34.666667,0.0,1.0
1.0,0.8,200,500,Beta,demand_t1,21.333333,0.0,1.0
1.0,0.8,200,500,Beta,demand_t2,16.0,0.0,1.0
1.0,0.8,200,500,Gamma,demand_t0,48.0,0.0,1.0
1.0,0.8,200,500,Gamma,demand_t1,0.0,0.0,0.0
1.0,0.8,200,500,Gamma,demand_t2,0.0,0.0,0.0
1.0,0.8,200,1000,Alpha,demand_t0,0.0,32.0,0.0
1.0,0.8,200,1000,Alpha,demand_t1,34.0,14.0,1.0
1.0,0.8,200,1000,Alpha,demand_t2,38.0,2.0,1.0
1.0,0.8,200,1000,Beta,demand_t0,34.666667,0.0,1.0
1.0,0.8,200,1000,Beta,demand_t1,21.333333,0.0,1.0
1.0,0.8,200,1000,Beta,demand_t2,16.0,0.0,1.0
1.0,0.8,200,1000,Gamma,demand_t0,48.0,0.0,1.0
1.0,0.8,200,1000,Gamma,demand_t1,0.0,0.0,0.0
1.0,0.8,200,1000,Gamma,demand_t2,0.0,0.0,0.0
1.0,0.8,200,2000,Alpha,demand_t0,0.0,32.0,0.0
1.0,0.8,200,2000,Alpha,demand_t1,34.0,14.0,1.0
1.0,0.8,200,2000,Alpha,demand_t2,38.0,2.0,1.0
1.0,0.8,200,2000,Beta,demand_t0,34.666667,0.0,1.0
1.0,0.8,200,2000,Beta,demand_t1,21.333333,0.0,1.0
1.0,0.8,200,2000,Beta,demand_t2,16.0,0.0,1.0
1.0,0.8,200,2000,Gamma,demand_t0,48.0,0.0,1.0
1.0,0.8,200,2000,Gamma,demand_t1,0.0,0.0,0.0
1.0,0.8,200,2000,Gamma,demand_t2,0.0,0.0,0.0
1.0,0.8,300,500,Alpha,demand_t0,32.0,0.0,1.0
1.0,0.8,300,500,Alpha,demand_t1,48.0,0.0,1.0
1.0,0.8,300,500,Alpha,demand_t2,40.0,0.0,1.0
1.0,0.8,300,500,Beta,demand_t0,36.0,0.0,1.0
1.0,0.8,300,500,Beta,demand_t1,36.0,0.0,1.0
1.0,0.8,300,500,Beta,demand_t2,0.0,0.0,0.0
1.0,0.8,300,500,Gamma,demand_t0,24.0,0.0,1.0
1.0,0.8,300,500,Gamma,demand_t1,0.0,0.0,0.0
1.0,0.8,300,500,Gamma,demand_t2,24.0,0.0,1.0
1.0,0.8,300,1000,Alpha,demand_t0,32.0,0.0,1.0
1.0,0.8,300,1000,Alpha,demand_t1,48.0,0.0,1.0
1.0,0.8,300,1000,Alpha,demand_t2,40.0,0.0,1.0
1.0,0.8,300,1000,Beta,demand_t0,36.0,0.0,1.0
1.0,0.8,300,1000,Beta,demand_t1,36.0,0.0,1.0
1.0,0.8,300,1000,Beta,demand_t2,0.0,0.0,0.0
1.0,0.8,300,1000,Gamma,demand_t0,24.0,0.0,1.0
1.0,0.8,300,1000,Gamma,demand_t1,0.0,0.0,0.0
1.0,0.8,300,1000,Gamma,demand_t2,24.0,0.0,1.0
1.0,0.8,300,2000,Alpha,demand_t0,32.0,0.0,1.0
1.0,0.8,300,2000,Alpha,demand_t1,48.0,0.0,1.0
1.0,0.8,300,2000,Alpha,demand_t2,40.0,0.0,1.0
1.0,0.8,300,2000,Beta,demand_t0,36.0,0.0,1.0
1.0,0.8,300,2000,Beta,demand_t1,36.0,0.0,1.0
1.0,0.8,300,2000,Beta,demand_t2,0.0,0.0,0.0
1.0,0.8,300,2000,Gamma,demand_t0,24.0,0.0,1.0
1.0,0.8,300,2000,Gamma,demand_t1,0.0,0.0,0.0
1.0,0.8,300,2000,Gamma,demand_t2,24.0,0.0,1.0
1.0,1.0,None,500,Alpha,demand_t0,40.0,0.0,1.0
1.0,1.0,None,500,Alpha,demand_t1,60.0,0.0,1.0
1.0,1.0,None,500,Alpha,demand_t2,50.0,0.0,1.0
1.0,1.0,None,500,Beta,demand_t0,35.0,0.0,1.0
1.0,1.0,None,500,Beta,demand_t1,26.875,8.125,1.0
1.0,1.0,None,500,Beta,demand_t2,20.0,0.0,1.0
1.0,1.0,None,500,Gamma,demand_t0,20.0,0.0,1.0
1.0,1.0,None,500,Gamma,demand_t1,12.5,0.0,1.0
1.0,1.0,None,500,Gamma,demand_t2,27.5,0.0,1.0
1.0,1.0,None,1000,Alpha,demand_t0,40.0,0.0,1.0
1.0,1.0,None,1000,Alpha,demand_t1,60.0,0.0,1.0
1.0,1.0,None,1000,Alpha,demand_t2,50.0,0.0,1.0
1.0,1.0,None,1000,Beta,demand_t0,35.0,0.0,1.0
1.0,1.0,None,1000,Beta,demand_t1,26.875,8.125,1.0
1.0,1.0,None,1000,Beta,demand_t2,20.0,0.0,1.0
1.0,1.0,None,1000,Gamma,demand_t0,20.0,0.0,1.0
1.0,1.0,None,1000,Gamma,demand_t1,12.5,0.0,1.0
1.0,1.0,None,1000,Gamma,demand_t2,27.5,0.0,1.0
1.0,1.0,None,2000,Alpha,demand_t0,40.0,0.0,1.0
1.0,1.0,None,2000,Alpha,demand_t1,60.0,0.0,1.0
1.0,1.0,None,2000,Alpha,demand_t2,50.0,0.0,1.0
1.0,1.0,None,2000,Beta,demand_t0,35.0,0.0,1.0
1.0,1.0,None,2000,Beta,demand_t1,26.875,8.125,1.0
1.0,1.0,None,2000,Beta,demand_t2,20.0,0.0,1.0
1.0,1.0,None,2000,Gamma,demand_t0,20.0,0.0,1.0
1.0,1.0,None,2000,Gamma,demand_t1,12.5,0.0,1.0
1.0,1.0,None,2000,Gamma,demand_t2,27.5,0.0,1.0
1.0,1.0,200,500,Alpha,demand_t0,0.0,40.0,0.0
1.0,1.0,200,500,Alpha,demand_t1,17.5,42.5,1.0
1.0,1.0,200,500,Alpha,demand_t2,35.0,15.0,1.0
1.0,1.0,200,500,Beta,demand_t0,46.666667,0.0,1.0
1.0,1.0,200,500,Beta,demand_t1,43.333333,0.0,1.0
1.0,1.0,200,500,Beta,demand_t2,0.0,0.0,0.0
1.0,1.0,200,500,Gamma,demand_t0,30.0,0.0,1.0
1.0,1.0,200,500,Gamma,demand_t1,0.0,0.0,0.0
1.0,1.0,200,500,Gamma,demand_t2,30.0,0.0,1.0
1.0,1.0,200,1000,Alpha,demand_t0,0.0,40.0,0.0
1.0,1.0,200,1000,Alpha,demand_t1,17.5,42.5,1.0
1.0,1.0,200,1000,Alpha,demand_t2,35.0,15.0,1.0
1.0,1.0,200,1000,Beta,demand_t0,46.666667,0.0,1.0
1.0,1.0,200,1000,Beta,demand_t1,43.333333,0.0,1.0
1.0,1.0,200,1000,Beta,demand_t2,0.0,0.0,0.0
1.0,1.0,200,1000,Gamma,demand_t0,30.0,0.0,1.0
1.0,1.0,200,1000,Gamma,demand_t1,0.0,0.0,0.0
1.0,1.0,200,1000,Gamma,demand_t2,30.0,0.0,1.0
1.0,1.0,200,2000,Alpha,demand_t0,0.0,40.0,0.0
1.0,1.0,200,2000,Alpha,demand_t1,17.5,42.5,1.0
1.0,1.0,200,2000,Alpha,demand_t2,35.0,15.0,1.0
1.0,1.0,200,2000,Beta,demand_t0,46.666667,0.0,1.0
1.0,1.0,200,2000,Beta,demand_t1,43.333333,0.0,1.0
1.0,1.0,200,2000,Beta,demand_t2,0.0,0.0,0.0
1.0,1.0,200,2000,Gamma,demand_t0,30.0,0.0,1.0
1.0,1.0,200,2000,Gamma,demand_t1,0.0,0.0,0.0
1.0,1.0,200,2000,Gamma,demand_t2,30.0,0.0,1.0
1.0,1.0,300,500,Alpha,demand_t0,34.5,5.5,1.0
1.0,1.0,300,500,Alpha,demand_t1,48.0,12.0,1.0
1.0,1.0,300,500,Alpha,demand_t2,45.0,5.0,1.0
1.0,1.0,300,500,Beta,demand_t0,34.0,0.0,1.0
1.0,1.0,300,500,Beta,demand_t1,36.0,0.0,1.0
1.0,1.0,300,500,Beta,demand_t2,20.0,0.0,1.0
1.0,1.0,300,500,Gamma,demand_t0,30.0,0.0,1.0
1.0,1.0,300,500,Gamma,demand_t1,0.0,0.0,0.0
1.0,1.0,300,500,Gamma,demand_t2,30.0,0.0,1.0
1.0,1.0,300,1000,Alpha,demand_t0,34.5,5.5,1.0
1.0,1.0,300,1000,Alpha,demand_t1,48.0,12.0,1.0
