square_feet,bedrooms,bathrooms,age,garage,location_score,condition,Price
2824,3,1.8912350813894447,8,3,8.564744675029306,excellent,500000
2745,5,3.883380800466042,38,1,6.969698210019733,fair,489822
1328,5,4.1089894459936955,4,3,7.530598693788375,good,500000
1752,3,2.0670651287041855,1,1,8.699811288917903,good,476645
2265,4,2.959794849998125,1,2,4.832629625729673,good,500000
2780,2,1.504406458418759,56,2,6.446261631940305,good,500000
1616,6,4.264530506075328,14,3,5.7028181729611775,good,500000
1851,3,2.4444841301531577,10,2,4.148210861951816,fair,301189
1114,5,3.7137155554176657,33,1,7.0200649664073795,good,474577
1043,4,3.1258597331721085,36,0,10.0,good,500000
2650,4,2.73375234665937,8,3,3.739883383241371,good,500000
3084,3,2.118762509902977,23,2,6.451579083425795,excellent,500000
1942,3,2.4667144073483316,29,3,7.46081440261216,good,500000
2802,2,1.3881500543724699,21,1,6.684617302484272,good,500000
2289,3,2.7680891553700215,3,2,6.33030792122639,good,500000
1483,2,1.3801091443156193,41,0,4.551175454831263,excellent,427503
2289,4,3.0674054177255656,15,4,6.849180114410245,good,500000
3230,3,2.529777249561927,6,2,5.36485403447611,good,500000
1971,2,1.0744902801200906,11,3,3.2151174425321702,good,330724
3251,5,3.2217573564057673,0,2,8.291888330770597,good,500000
500,5,3.2923031056289718,2,2,7.937578729763064,excellent,500000
2657,5,4.128775231028155,29,2,6.57749146527662,fair,500000
2069,6,4.334442556232266,0,2,6.843612032308554,fair,500000
1760,2,2.267459785700476,10,3,8.111477019073343,fair,453643
2073,3,2.0807257204027834,14,3,6.836509485167124,excellent,500000
500,4,3.055365390959111,1,3,7.856026332141972,fair,500000
1824,4,3.462632985770363,72,2,6.053776698689225,fair,500000
2285,2,2.101827866447737,5,2,8.46797560786092,fair,449658
3182,4,3.6184510729909194,7,2,6.981178588899025,excellent,500000
1585,3,2.6125098691779427,7,4,6.7910779154088114,good,500000
1353,3,2.557218757743439,5,0,4.594908366931952,fair,264959
1598,3,2.427758084760355,0,2,6.930433781452563,good,500000
2732,4,3.2335083228499912,26,2,5.2520676237583235,good,500000
2263,4,2.83464428510144,68,2,5.542575910207258,good,500000
1576,2,1.2545403349733077,5,4,5.2769365575258185,good,500000
2410,5,3.7489876627767145,21,2,4.900647602151162,excellent,500000
2077,3,2.1989446132425217,27,2,9.687157104525443,good,500000
2774,2,1.3640315852018174,37,1,8.497008592982604,excellent,500000
1438,5,3.9589162342370146,10,2,9.380551253216392,good,500000
1737,5,4.036591562571153,7,2,4.665657470666654,good,500000
1686,5,3.776522065887554,7,2,6.6068806248663385,good,500000
829,4,3.4432590243165784,24,3,4.559738562193856,excellent,500000
2236,4,2.6574932657599484,33,3,5.456457684204404,good,500000
2208,4,2.9419021622160844,4,1,5.122809524875137,fair,455761
2004,2,1.2849533038191585,9,2,8.359376009662341,excellent,500000
1812,3,1.690039014878082,46,3,5.90565548284736,excellent,500000
867,3,2.22519579424719,32,1,8.102569000541024,excellent,500000
1663,3,2.213475747485015,83,1,7.406181334382777,fair,442436
1725,4,3.4540349229726393,28,1,9.955458128157183,good,500000
1358,3,2.4392435053664334,9,2,4.280833665290414,good,401645
1870,2,1.1927439527012385,17,1,8.388849859680198,excellent,500000
2323,3,2.8062277699002562,21,4,8.219661305601091,good,500000
3508,4,3.366310108657606,1,2,5.039931742959448,fair,500000
2139,2,1.6746293110405848,15,2,8.01070000470974,fair,401189
2206,5,3.6820547703450504,24,1,7.004217444539343,good,500000
1940,3,1.962168228982956,3,2,6.158785610069888,excellent,500000
500,3,2.138337967178684,30,2,5.264096769542,excellent,480759
1978,4,3.3266245859112558,17,3,5.421335822826221,excellent,500000
2048,4,3.565375891780383,60,3,9.57471814367889,good,500000
3970,3,2.7129730584816567,0,2,6.501024228436224,excellent,500000
1846,4,2.8533451734641178,6,3,7.673195002297189,good,500000
2241,4,2.6641147700132968,18,3,5.313650927498671,good,500000
1972,3,2.2922658740733612,7,3,5.330220580667541,fair,489048
1065,5,3.2194681903311446,25,1,8.122977213874913,good,500000
2914,4,3.0969503142554347,28,0,4.475635682672702,fair,500000
2601,4,2.9557192241103993,2,1,5.877179348142093,fair,493818
2632,5,3.6101890494395272,14,2,6.551041116608348,excellent,500000
1272,5,3.2715890798199614,14,2,6.667058902760079,fair,489355
3122,4,3.154080031970915,9,2,6.231360072475765,good,500000
878,4,2.8401897481014267,54,3,7.093729671643885,good,406064
2469,4,2.649024949286914,35,3,7.5392836337267175,good,500000
3752,4,2.138321336015505,23,3,7.601956318188995,poor,500000
1207,4,2.991745528484809,25,2,5.02129428699826,good,500000
1546,4,3.5316754790009233,12,2,6.073767353106804,good,500000
2079,2,1.998377764364361,50,2,8.292144292815406,fair,358429
1597,5,3.6128711230241186,23,1,7.841970781360809,excellent,500000
759,5,3.569336381891466,26,1,4.440710822778405,good,500000
2054,1,1.0,39,2,7.027219850528303,fair,388588
1150,4,2.7004843682435125,6,2,3.532662125937785,fair,409146
2378,2,1.5905375699458397,32,3,6.570402353090555,poor,402291
1264,3,2.479824083515407,4,1,9.346650525118966,poor,379073
3239,4,3.368079967165292,8,2,5.078160924096521,excellent,500000
1373,2,1.4699537770560143,8,2,5.248515431762627,fair,287729
1742,4,2.9388978749469103,76,2,7.646044672359289,good,500000
2650,4,2.7366052239730316,38,2,4.185797727185531,good,500000
1015,3,2.001935893788042,24,2,5.550867455172441,excellent,481392
2181,1,1.0,25,2,7.394661706372629,good,484067
3045,3,2.3602096520448534,16,2,5.548571228465895,poor,419438
714,4,3.2740753878699747,58,1,6.146045019183543,fair,352962
2147,6,4.259046314795897,13,1,7.616278565472552,good,500000
2207,4,3.4478065706878565,9,2,7.132319125304842,excellent,500000
2625,3,2.1686629196872294,3,3,6.900227594443103,good,500000
1010,4,2.993589811695469,30,2,5.991316581094942,fair,440675
943,3,2.025836496255653,26,2,7.055091672903433,fair,364366
2417,4,2.2727279219181176,9,2,6.314400979850365,good,500000
2237,2,1.765213618908315,0,3,7.1867084148886775,excellent,500000
2200,4,3.22105316912773,36,3,5.754601962323033,good,500000
2277,3,2.165601732864536,0,2,6.226146538430688,good,500000
1455,5,3.7700972151674614,24,2,5.015063311171979,fair,405496
2185,3,2.40478176531123,70,3,6.447488584990646,good,500000
2234,4,2.531236242934037,11,2,5.283498704556733,good,500000
1428,5,3.5912841967961118,5,2,4.82893032475701,good,462435
3492,2,1.7382794038865481,24,0,6.887991721783083,excellent,500000
2379,5,3.373713173049225,33,3,6.819109663786491,poor,481149
1046,4,3.088067379649989,15,3,7.6743106024228585,good,500000
2525,2,1.0930254586129786,68,1,5.853311645637351,good,500000
1220,3,2.3899289947300577,1,2,7.112079270255133,good,498562
2629,4,2.989307555310755,14,2,7.3261963584104945,good,500000
2926,2,1.015460455228347,25,1,7.1671607117473926,good,500000
1343,4,3.3494218063371513,39,4,5.261519475796787,fair,456207
2770,3,2.029622526960585,3,1,6.724045223406783,good,500000
2330,4,2.756924268895686,32,1,7.046210444081992,good,500000
2657,1,1.0,16,2,6.510767700361913,excellent,500000
3517,5,4.094591204828615,10,2,3.3702835124433728,good,500000
1803,6,4.195253454306481,2,0,6.74073443596022,excellent,500000
1397,5,3.7685039549543915,40,2,9.818796559095864,good,500000
1288,4,3.1286449500991718,3,2,5.959941096864526,fair,437701
1347,2,1.7079316821789432,7,1,5.407884353217018,fair,304844
1938,4,3.0529324665831674,6,1,7.060022839567098,good,488821
2272,1,1.0,41,2,6.9685673156998575,good,453082
2221,1,1.0,22,2,8.289102748124622,excellent,500000
2661,3,2.2758431649139124,31,3,4.613197766136668,good,500000
2010,3,1.928358296404318,5,3,7.5970703788624885,fair,483426
3162,4,2.1235948549516177,19,4,7.385633091877195,good,500000
1788,4,3.1309679412473,16,2,6.286780194589181,good,500000
4176,3,2.5211804523258587,35,4,7.008030976882535,fair,500000
2500,3,1.5411202693374486,47,2,8.044186222397535,fair,473617
1314,6,4.1970807885870185,0,2,7.808473070042675,good,500000
1143,3,2.4357462783015595,22,1,4.785471031889407,good,460762
2385,3,2.86724864091351,1,1,7.730237280133227,excellent,500000
1821,2,1.5062381123026223,15,2,6.402967092451222,excellent,500000
2571,4,2.7815991176312598,6,2,6.6093111470232735,fair,500000
2378,4,2.945131067668548,7,1,6.6097954865025415,fair,500000
1941,3,2.6624629257444554,8,2,6.2746355168026104,fair,470138
1322,2,1.3062107462626393,19,2,8.287561245660598,excellent,477818
788,4,2.760242398004924,8,2,6.3744230602261815,fair,393213
1642,4,2.8551769433453904,26,2,4.820680807425247,good,458832
2685,3,1.9640014175223863,10,3,5.909705216045407,good,500000
2171,5,3.7868010947984385,1,3,6.768042075215713,good,500000
1003,2,1.9874035375408683,30,2,8.343822176445576,excellent,500000
2138,3,2.3469237819348088,6,2,7.40464202742325,fair,488991
2308,5,3.674293949362114,11,2,5.224197081879434,good,500000
1292,3,2.162456619325337,23,3,10.0,excellent,500000
2122,4,2.531042757391003,8,2,6.897162966466969,excellent,500000
2046,3,2.5149329331441477,1,1,8.413086106998522,excellent,500000
1085,3,2.2266488408961593,9,1,6.272428349634156,excellent,466961
2286,6,4.445856025922812,57,2,7.300038867058174,good,500000
2448,3,3.2079322703534583,20,2,7.759202756777607,fair,500000
2866,5,3.8396258725097057,22,3,8.327292067631383,excellent,500000
2843,3,2.0244626849714447,20,1,8.086052458067337,excellent,500000
897,3,2.122092721138337,4,2,7.808295500109467,good,444626
1249,1,1.0945337127590264,10,3,6.027369903208837,fair,328305
2412,4,3.0339811231613294,27,3,5.642380937065908,good,500000
2411,3,1.81851660650479,2,2,6.998911265486297,good,500000
2412,5,4.025768680372561,6,2,7.899692108511604,good,500000
5000,3,2.049556774338302,6,2,6.165918948835089,good,500000
2456,5,4.311989332865264,11,3,8.09775794857158,excellent,500000
2908,2,1.8240144197143946,78,1,8.67892511822927,fair,500000
2763,5,3.615803431302375,1,3,5.125518621389871,good,500000
2521,4,3.3843049085205337,14,2,5.24461894430558,good,500000
1747,4,3.020356653158221,3,2,6.2894374116419955,fair,495883
2607,4,3.2558321025366657,70,0,6.961419002283795,good,500000
1381,4,3.1454198451883424,2,2,5.713149479349424,good,435760
1810,4,2.7460930035027378,10,2,8.528304018300716,good,500000
1611,2,1.3069350503047614,26,1,7.136100292277677,excellent,500000
2065,1,1.0589882452743484,24,2,6.55917057236111,excellent,500000
3851,5,3.6495674003680376,10,4,4.346135714197208,good,500000
506,4,2.878905461027401,8,2,4.5262762753587396,fair,304586
2549,4,2.713463226195194,10,2,6.9215138754227095,poor,423214
709,3,2.377079719678038,6,1,3.301106560767746,good,365084
1622,2,2.1187574757729433,4,2,8.018956114466107,excellent,500000
2871,2,1.1797401257237181,13,1,6.26276923344152,excellent,500000
2051,4,3.0072658370018273,6,2,10.0,fair,500000
1137,3,2.6736661666246286,6,3,9.961874375924166,good,500000
1427,3,2.2261075826262853,21,2,6.227826396128725,good,471364
2543,3,2.3857115388749204,69,1,6.340494496203028,fair,473951
1415,2,1.1812819415559361,18,2,7.993372271003045,fair,429514
2173,4,3.1284921291622947,1,2,9.054758914877056,fair,500000
2036,3,2.1938567204986352,1,2,4.042956413845975,excellent,500000
1478,4,3.295718998703959,60,3,3.82043680196797,fair,376543
3715,3,2.6062158154694255,7,3,5.566947791668428,fair,500000
2507,3,3.026869092605584,1,2,7.374106374760797,good,500000
500,1,1.0,18,2,7.245310385761396,good,277841
2149,2,1.59773889497465,19,2,8.104657182475776,good,500000
1470,3,2.308315290473201,20,1,4.700453707452038,poor,313590
2681,3,2.1440501121567936,6,2,3.0257842055466853,excellent,500000
1365,4,3.1015451530385074,0,2,7.787021292953218,good,500000
1908,3,2.161379576958291,67,2,5.257705590552148,excellent,500000
2403,4,3.0505382928808844,5,2,3.472268203417043,fair,497943
2692,5,4.145279260682388,22,1,6.717595618939073,excellent,500000
1039,4,2.6980372304161078,24,2,7.689763532328016,good,500000
1732,1,1.0919635683387137,18,1,6.316914301818084,good,413578
1620,3,2.6451345202019594,7,1,5.813227420726266,fair,451782
1477,2,1.4645794419026763,6,3,6.26095665178114,good,500000
3412,3,1.6134435302974217,18,0,5.944125856398825,excellent,500000
2323,6,4.31765340387167,40,2,4.477929332089749,fair,500000
991,2,1.8890983639683327,58,1,5.427978984514352,good,320535
2734,3,2.243139581310335,2,3,7.281919857520721,fair,494822
3697,4,2.7002093303115267,3,2,6.98251781206475,excellent,500000
2825,4,2.8485675236315346,57,1,6.752089708950231,good,500000
784,4,3.252186007951366,26,2,5.007277277219931,good,417657
1612,1,1.0,42,2,6.227745256796499,excellent,418699
3013,3,2.1783203702490916,4,4,3.234402430335718,good,500000
1433,3,2.139952676455594,17,1,6.767714995828085,good,500000
2355,2,1.3824725552868535,24,3,8.643286561720352,fair,433203
2619,3,1.9732769446504492,22,3,4.288801801936842,good,475090
1258,1,1.2346127068408326,10,3,5.621108490023367,good,379670
1952,2,1.403303859236598,0,2,6.993660168065194,good,500000
500,3,2.615147556247649,17,2,8.379263951641226,poor,316474
1180,2,1.9563948155767354,5,2,5.827663075549776,good,390365
1797,4,3.299493269444388,11,3,5.461624506101155,good,500000
1001,4,2.8705139061845855,63,2,3.546615286375875,good,434218
3305,4,3.121119027100983,10,2,6.655157193962159,good,500000
855,3,2.242741318082725,36,2,9.563114060215616,good,386664
1647,2,1.2288894417809615,4,2,6.916037692947014,fair,378331
2104,2,1.597307784516481,22,3,6.46658153122443,good,500000
3153,4,2.6462880626520593,75,1,6.983123466150478,fair,500000
851,4,3.3563038165384693,2,3,6.483361994077097,excellent,500000
2930,1,1.0,0,2,5.280478441609805,good,496839
2008,5,3.8103478967618516,11,3,7.734919873516558,fair,500000
1214,2,1.5849863614638426,1,2,6.838642284667632,excellent,500000
2369,3,2.1723285078887766,27,2,6.526419877900486,poor,373268
2159,4,3.1760081404425824,49,3,5.036950959082625,good,493030
1519,5,3.6075289030132427,11,2,8.455261897902139,fair,500000
2055,4,3.2613891892371734,5,3,7.497054117999665,good,500000
1691,4,2.5962060959259756,11,2,5.670618743949047,good,500000
2090,3,2.2879138738639235,25,2,8.002737280522906,excellent,500000
2529,4,3.5816786997174854,0,2,5.753643742422189,good,500000
3268,2,1.1999006026183276,17,2,5.326994761233444,excellent,500000
1009,5,3.5466765088425447,19,2,5.360445323779569,excellent,500000
3706,3,2.4041723548976743,20,0,3.8433971703678633,excellent,500000
500,4,3.053874534581879,5,2,7.207313570627308,good,492761
1878,3,2.3551890297820677,25,0,3.7532826824924745,fair,497309
2470,4,3.146756139044299,1,4,4.6573342531013555,excellent,500000
2224,3,2.440416440568531,4,4,3.3866179863822,excellent,500000
1501,4,3.332909952586867,41,2,6.37089546081366,good,500000
1833,2,1.6229455970785538,26,2,6.274519309592192,excellent,496163
1605,2,1.4276227036144373,0,2,6.009955680220454,excellent,500000
1528,3,2.451772110360819,5,2,4.936133457994136,excellent,500000
2679,2,2.0699645804685645,4,3,4.74164936984504,fair,420656
2285,5,3.710209876085228,6,3,7.196554795319861,fair,500000
1445,3,1.9576412085988075,5,2,5.674172102437268,good,486102
2719,6,4.832124200786092,1,3,6.974537482304217,good,500000
2245,3,2.2138856508139204,12,2,5.172126970813666,good,500000
2650,2,1.0,26,4,6.771594114156623,good,500000
2503,4,3.2542265031451265,18,0,8.454917055974096,good,500000
1336,4,2.839401544213823,22,2,7.379248700589175,good,500000
1551,3,2.2228400153087517,1,2,5.88137927267528,good,427036
2597,4,3.0995940991707043,60,2,6.885798455533891,excellent,500000
2488,4,3.0571499039337198,36,1,6.1390022382046805,good,500000
1983,3,2.462835545141712,32,3,6.5118202770420925,fair,461691
2093,6,4.369354088829047,34,1,6.011583421777244,good,500000
3022,6,4.653931739452825,53,2,6.253497191171913,fair,500000
1526,4,2.922135996724825,15,1,6.818140029611262,poor,316917
2437,2,1.721643144266251,4,2,5.0099619506270745,excellent,500000
1838,4,3.184610245203916,19,2,4.976181759515033,good,500000
1825,2,1.2193683893866214,27,2,4.417186169253183,good,459841
2879,1,1.0757946348525096,26,1,4.099593343244435,poor,384742
2660,3,2.0892109664657856,14,1,4.674075961669281,poor,477806
2650,3,2.4924173394843434,1,2,6.739193760206193,good,500000
3044,5,3.860186194020402,9,3,5.160818726762174,good,500000
2016,4,3.5514551030385366,50,3,7.270421696346644,fair,500000
2545,4,2.9329602052884445,17,1,6.552070623128842,excellent,500000
1751,3,2.145204961164541,15,2,3.5472436798429197,fair,490967
2259,3,2.2441741182336803,6,1,7.482463376332535,fair,418207
1895,3,2.159046065149717,9,0,7.716197968387565,good,500000
2077,6,4.739982570582615,45,2,5.00920598774772,good,500000
2476,1,1.0,21,2,7.130287314342487,good,500000
1345,5,3.433895274256094,30,1,5.215252643886202,good,500000
3673,4,2.679659123526242,12,1,6.646505565122503,good,500000
1195,3,2.5350922775920726,19,0,4.603252389567551,fair,376240
1028,4,3.5131840117745776,5,3,3.810340321198135,fair,426501
2926,3,2.2186652344387587,24,4,5.925774215580547,fair,500000
2633,5,3.6993534830429966,11,1,6.314406580587746,excellent,500000
2499,5,3.7710156489339544,11,1,5.903480459578094,fair,500000
2502,3,2.5985634907824573,20,3,4.7239541626661605,fair,413063
1990,3,1.9717940597428278,55,3,5.900151406803294,good,500000
1282,4,3.0715106948204354,1,2,6.903942128871101,excellent,500000
2060,5,4.042559288934729,34,1,6.432660454816195,good,500000
1458,3,2.4003282509819535,6,0,6.77375154589882,fair,370940
2780,4,3.056874484979623,11,2,5.49482719931865,good,500000
1882,4,3.3003138277701423,0,2,8.257576872074239,fair,452304
1339,4,2.189030312100229,7,0,4.73573999516783,good,400111
1742,2,1.7033625958592722,13,2,7.231340445630078,fair,360058
2330,4,2.803777295061773,1,0,8.272836639439943,excellent,500000
1549,5,3.200810130943063,13,3,7.221362139123343,good,500000
1342,2,1.6533607798574943,52,2,6.196213659402755,good,339441
2194,3,2.6620975635488873,2,0,5.707554430005532,excellent,500000
2195,6,4.458765445611692,28,2,8.054131476569385,fair,500000
1594,2,1.7858623641608817,10,2,4.365537612107491,good,381477
1623,5,4.2336834773965935,21,4,5.044813609430534,good,500000
2185,3,2.644474336075214,6,2,5.903663351762418,good,500000
841,3,2.7419893588114177,3,2,8.356480636267998,good,500000
874,5,3.9726382473215676,3,2,7.0696514540613435,excellent,500000
1425,3,2.272630091670478,1,2,5.047931362234632,excellent,500000
1829,3,1.7694102564308496,4,3,6.034538441922645,fair,417306
2248,3,2.1761812535610154,21,2,5.578515283855558,good,478900
3180,4,2.7470260214051425,42,2,5.435316511649697,fair,500000
2686,2,2.151282815249344,33,1,7.968334337835168,poor,477112
1872,3,2.197234256270299,23,2,4.442385306104741,good,500000
1984,5,3.786961442035346,2,3,8.91317128360156,good,500000
1197,3,2.41544561281214,6,3,7.742344535276934,good,500000
1985,4,3.0130807339117363,7,1,8.136292505905548,poor,403071
1769,3,2.7585153121292256,5,1,5.805590731962113,fair,466022
2258,4,2.8132051914796645,14,3,6.275088921381336,good,500000
1338,2,1.5583822365711728,15,3,4.350272278212932,fair,280238
2415,5,3.5272588242905853,8,1,5.713006389399796,excellent,500000
3226,3,1.8539932466337883,8,2,7.240482271464726,poor,474970
1912,3,2.066469272728414,35,2,8.444094592672094,poor,363033
2321,2,1.4888889608854763,31,3,4.839264774796322,excellent,500000
2552,2,1.371209332644822,7,1,5.951741094522101,good,500000
1679,3,2.042273706037843,49,1,6.273051169651216,excellent,500000
2179,3,1.8281047608984498,61,3,4.4063161967112725,good,500000
2010,4,2.9750683282113917,7,1,7.387023862637601,fair,500000
2078,3,1.7985838877906994,8,2,5.414014502386086,good,459607
1381,3,2.478016789106881,14,2,6.206914473234464,excellent,500000
2019,4,3.024731925880351,56,2,5.822075942132184,good,500000
2398,4,2.562734550160521,41,2,5.3159922414204885,poor,457943
3160,2,1.407237276885041,2,2,6.489432521779168,good,500000
2767,2,1.2743530783228252,9,1,6.176585632147966,good,500000
3722,1,1.0,16,2,5.942213176582001,excellent,500000
1386,4,3.402135133806943,13,3,5.407307567479486,poor,323121
2697,4,2.4374482591062767,4,3,6.979287006174433,fair,500000
2146,3,2.2845078237442253,39,1,8.980425902738428,good,500000
3751,4,2.9519601613300077,22,1,6.709830849258691,excellent,500000
1353,4,3.20140202293514,36,2,7.994177322366694,excellent,500000
1328,4,3.0639589884713065,39,2,4.414667112269806,excellent,500000
1520,5,3.5244092004783543,27,2,6.736642158940654,good,500000
500,3,2.1542838193000144,11,2,4.8539475215434,fair,293836
1579,2,1.2611922429589533,18,1,4.284612608702147,good,374582
1392,3,2.5728021415795794,3,0,5.390942888811446,fair,415088
2120,2,1.5063934946015827,22,2,8.287849001620359,good,500000
2273,3,2.820357205725902,3,2,7.925023743004468,fair,500000
3500,5,3.7318017558556136,23,1,6.8645070830816,fair,500000
2760,1,1.0,5,2,4.200949160165104,excellent,500000
1538,2,1.0458856822161517,2,2,6.205579022918095,good,395846
1281,3,1.7090580971232165,3,3,6.952550013352603,good,447783
2393,5,3.274759217098353,0,3,6.763304344367897,excellent,500000
943,3,2.330137995303445,25,2,3.7343096247788816,good,366968
3465,3,2.4026175069689804,26,1,5.164523227970192,good,500000
2943,1,1.0,14,2,6.403883353776925,poor,344449
1624,2,1.7685114942228346,3,1,7.304436364275785,good,477682
629,6,4.3550816844949685,1,2,3.20580826835008,fair,369995
3083,5,3.794037903595665,0,3,6.256814036780212,good,500000
1908,1,1.2336661884766273,3,2,6.714573154818429,fair,314788
2990,5,4.01905179475966,44,3,7.774417982774319,good,500000
724,4,2.91944080562825,5,2,7.539286376356155,fair,398803
1520,5,3.4826423323754137,8,1,7.373856978213208,good,500000
2004,3,1.6044553796012084,2,2,5.3000892399470985,good,500000
2037,3,2.034254004227274,5,2,3.637996794315039,good,426225
1639,3,2.186660928351692,14,2,5.910420864407898,good,500000
2498,4,2.703846141854645,18,2,8.00244773781284,excellent,500000
1145,2,1.4606229098723085,5,1,8.590181791286646,excellent,500000
1886,1,1.0,1,4,7.565823653446678,excellent,500000
2096,3,2.1825432054575766,9,1,7.144011234202601,fair,441043
2411,4,2.804999225752962,5,4,7.069459472578949,good,500000
2569,3,2.300596401590018,4,4,5.665821879858829,good,500000
1100,4,3.132582194870823,64,3,6.30490955966957,fair,338462
772,5,3.4228802767671462,19,2,9.003604288739496,good,500000
3022,2,1.923279713923881,16,2,5.086162991312186,good,500000
2265,4,2.9704235603147215,10,3,8.922168186064777,excellent,500000
1401,3,2.2556548868834545,11,2,6.016957768261912,poor,391012
3240,5,3.962464326976967,15,2,8.488148163642618,fair,500000
2092,2,1.5699648393790504,23,2,4.389777485753693,fair,369327
2943,4,3.2859409901739736,24,2,7.378856301746974,good,500000
2054,4,3.0861372495605472,3,2,5.3948447960785675,fair,448180
3648,5,3.5662687876078687,13,2,4.377099212113719,excellent,500000
3404,4,3.1084510575618305,10,2,6.827801063616419,excellent,500000
1800,3,1.9068821378038014,40,3,8.014207682893954,excellent,500000
2777,4,3.032567911732957,19,1,5.232587842109755,good,500000
2516,5,3.7400310028066617,15,3,4.251476059312398,good,500000
3094,4,2.937564942818238,2,2,6.362232853497567,good,500000
1228,1,1.0,18,3,6.368847006834228,excellent,433839
2548,5,3.185445286350708,2,2,7.3224794413317476,good,500000
2846,4,2.8353825276777114,8,3,7.924391857046732,fair,500000
593,4,3.0278534703423343,3,0,6.410877228091259,good,307412
1053,3,2.2979569175992203,23,3,9.283254972191394,fair,339781
500,4,2.6916974577222126,4,0,6.836352116802938,good,411462
1784,3,2.62971235225941,9,3,5.980360240989651,fair,484419
2574,4,2.74014754553565,45,4,4.082648961345758,good,500000
3201,2,1.790837160158021,4,2,6.106010719525749,good,500000
2059,4,3.1281583085615052,14,1,5.995419581883295,good,500000
3302,6,4.306131807046859,10,3,7.940457194422206,good,500000
895,1,1.2825932677828535,0,2,7.193725436100281,fair,358417
637,6,4.141908950473056,31,3,4.730946317551075,good,428356
1955,3,2.5257462520830005,1,1,6.7583815796165565,good,490735
2307,5,4.050174695412894,12,1,7.50729675759358,fair,482929
1973,4,2.7988139372770067,16,4,8.79204703908175,good,500000
500,4,3.4177395900192984,19,2,7.831255951121089,good,468866
1928,4,2.9249860456203143,23,3,7.641269981467216,good,500000
956,5,3.836608088783957,5,2,6.590128991922746,good,500000
2535,3,2.3280965516313663,0,2,7.082468008135175,good,500000
2293,3,2.2097073775588356,25,2,8.374257351059239,good,500000
1248,4,3.2432424819479344,15,2,4.500833903780525,poor,258804
